Model,Prob_B1_Bin,Range_Prob_Runs_Mean_BS2,Range_Prob_Runs_Mean_BS4,Range_Prob_Runs_Mean_BS8,Range_Prob_Runs_Mean_BS16,Total,Total,,,
Gemma3-1B,0-0.001,1.70E-05,1.78E-05,1.43E-05,1.50E-05,6.41E-05,6.11E-05,-2.94E-06,,-6.30E-02
Gemma3-1B,0.001-0.1,0.006442323,0.009383752,0.010884609,0.009834876,0.03654556,0.032894633,-3.65E-03,,
Gemma3-1B,0.1-0.2,0.034524746,0.067296797,0.068613017,0.065988223,0.236422783,0.217803886,-1.86E-02,,
Gemma3-1B,0.2-0.3,0.053929884,0.082335087,0.087375973,0.082699709,0.306340653,0.288143478,-1.82E-02,,
Gemma3-1B,0.3-0.4,0.085013521,0.111090316,0.114495739,0.102510345,0.413109921,0.390743825,-2.24E-02,,
Gemma3-1B,0.4-0.5,0.060456565,0.099172559,0.089413385,0.099523192,0.3485657,0.345014483,-3.55E-03,,
Gemma3-1B,0.5-0.6,0.062719779,0.087255657,0.097353915,0.094068611,0.341397962,0.327584784,-1.38E-02,,
Gemma3-1B,0.6-0.7,0.079351102,0.102678756,0.105117512,0.107470969,0.394618339,0.377896835,-1.67E-02,,
Gemma3-1B,0.7-0.8,0.044953609,0.08825403,0.091846844,0.077729372,0.302783854,0.285028444,-1.78E-02,,
Gemma3-1B,0.8-0.9,0.049242909,0.072542705,0.072135406,0.068132303,0.262053323,0.2358288,-2.62E-02,,
Gemma3-1B,0.9-0.999,0.010483046,0.015078923,0.017599241,0.015410225,0.058571435,0.056172785,-2.40E-03,,
Gemma3-1B,0.999-1,2.05E-05,1.80E-05,1.73E-05,1.86E-05,7.45E-05,6.51E-05,-9.43E-06,,
Gemma3-270M,0-0.001,2.83E-05,3.28E-05,3.62E-05,4.10E-05,0.000138323,0.000143501,5.18E-06,,
Gemma3-270M,0.001-0.1,0.007701311,0.00877916,0.009001313,0.006299332,0.031781116,0.030957706,-8.23E-04,,
Gemma3-270M,0.1-0.2,0.054002492,0.05929085,0.060710184,0.052155545,0.226159072,0.223558141,-2.60E-03,,
Gemma3-270M,0.2-0.3,0.071064564,0.086326746,0.093225422,0.074850504,0.325467236,0.289097243,-3.64E-02,,
Gemma3-270M,0.3-0.4,0.057042079,0.093874195,0.09841861,0.086884922,0.336219806,0.332461376,-3.76E-03,,
Gemma3-270M,0.4-0.5,0.067082345,0.087452422,0.084894657,0.095306647,0.334736071,0.308479142,-2.63E-02,,
Gemma3-270M,0.5-0.6,0.107248059,0.172747192,0.155604371,0.101365447,0.536965069,0.550126738,1.32E-02,,
Gemma3-270M,0.6-0.7,0.068410873,0.105646094,0.116186877,0.080139242,0.370383086,0.372026025,1.64E-03,,
Gemma3-270M,0.7-0.8,0.072623491,0.074371278,0.090809723,0.077398382,0.315202874,0.323428484,8.23E-03,,
Gemma3-270M,0.8-0.9,0.058334274,0.059964742,0.061447918,0.055887635,0.235634569,0.231405524,-4.23E-03,,
Gemma3-270M,0.9-0.999,0.010938158,0.013393109,0.013640869,0.01240581,0.050377945,0.051314827,9.37E-04,,
Gemma3-270M,0.999-1,2.42E-05,2.83E-05,3.06E-05,4.71E-05,0.000130207,0.000135722,5.52E-06,,
Gemma3-4B,0-0.001,1.65E-05,1.74E-05,1.91E-05,1.75E-05,7.06E-05,7.29E-05,2.30E-06,,
Gemma3-4B,0.001-0.1,0.006976488,0.007771049,0.009030382,0.007645715,0.031423634,0.031870407,4.47E-04,,
Gemma3-4B,0.1-0.2,0.054214785,0.063874978,0.065913157,0.060926303,0.244929223,0.255251083,1.03E-02,,
Gemma3-4B,0.2-0.3,0.091154753,0.0829624,0.104831124,0.083125138,0.362073416,0.362217645,1.44E-04,,
Gemma3-4B,0.3-0.4,0.089658093,0.109202478,0.109569275,0.09269041,0.401120256,0.421977058,2.09E-02,,
Gemma3-4B,0.4-0.5,0.08222985,0.097982635,0.111206651,0.09849793,0.389917066,0.41535033,2.54E-02,,
Gemma3-4B,0.5-0.6,0.075140375,0.099924743,0.095892141,0.091943346,0.362900606,0.379817438,1.69E-02,,
Gemma3-4B,0.6-0.7,0.095234183,0.107916594,0.117676506,0.084870688,0.405697971,0.475208864,6.95E-02,,
Gemma3-4B,0.7-0.8,0.097373656,0.080470902,0.110601696,0.085709936,0.374156189,0.354783539,-1.94E-02,,
Gemma3-4B,0.8-0.9,0.057846112,0.071050836,0.076240801,0.072232908,0.277370657,0.286400428,9.03E-03,,
Gemma3-4B,0.9-0.999,0.011013642,0.011933728,0.013699095,0.012924104,0.049570568,0.046647155,-2.92E-03,,
Gemma3-4B,0.999-1,3.72E-05,4.03E-05,4.95E-05,3.38E-05,0.000160797,0.00016677,5.97E-06,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
